normal,shear
3288.8717498059355,4965.597206592757
3316.4817963676164,4993.540982948332
3344.054383318603,5021.351092236912
3371.5902367812946,5049.030458297597
3399.0900562349307,5076.58190091332
3426.554515580352,5104.008139855483
3453.9842641668947,5131.3117987852
3481.379927782107,5158.495409014257
3508.7421096050884,5185.561413129039
3536.071391124231,5212.5121684807555
3563.3683330202834,5239.34995054555
3590.6334760156,5266.076956157975
3617.867341690534,5292.695306621529
3645.070433267901,5319.207050699858
3672.2432363665016,5345.614167492335
3699.3862197246253,5371.918569197617
3726.4998358945513,5398.122103768882
3753.584521908964,5424.226557464303
3780.640699920266,5450.233657296323
3807.6687778137193,5476.145073383268
3834.669149795342,5501.962421206698
3861.6421969554926,5527.687263777918
3888.588287809004,5553.321113716911
3915.5077788127833,5578.865435246951
3942.401014861695,5604.321646108026
3969.2683297635954,5629.691119392137
3996.1100466943076,5654.975185303462
4022.9264786333224,5680.175132846263
4049.7179287810213,5705.292211443348
4076.4846909581215,5730.3276324878125
4103.227049988091,5755.282570830696
4129.945282063216,5780.158166207073
4156.639655095001,5804.9555246030895
4183.310429049527,5829.67571956626
4209.957856268418,5854.319793461383
4236.582181776011,5878.888758674237
4263.183643573291,5903.383598765215
4289.762472919184,5927.8052695749475
4316.318894599708,5952.154700283903
4342.853127185526,5976.4327944278275
4369.365383278383,6000.640430870926
4395.855869746907,6024.778464738486
4422.324787952244,6048.847728310652
4448.772333963935,6072.84903187901
4475.19869876649,6096.783164567485
4501.604068457055,6120.65089511912
4527.988624434537,6144.452972650119
4554.352543580596,6168.190127372576
4580.695998432823,6191.8630712871945
4607.019157350481,6215.472498847277
4633.322184673089,6239.019087595208
4659.605240872231,6262.5034987725985
4685.868482696804,6285.926377905213
4712.112063312066,6309.288355363745
4738.336132432724,6332.590046901502
4764.540836450315,6355.832054169937
4790.726318555158,6379.0149652130285
4816.892718853107,6402.139354941369
4843.040174477311,6425.205785586855
4869.16881969525,6448.214807138798
4895.278786011206,6471.166957762266
4921.370202264405,6494.062764199393
4947.443194723003,6516.90274215441
4973.49788717411,6539.687396663084
4999.534401010015,6562.417222447228
5025.552855310807,6585.092704254934
5051.553366923508,6607.714317187138
5077.536050537916,6630.282527011081
5103.501018759271,6652.797790461264
5129.44838217791,6675.260555528404
5155.378249436021,6697.671261736913
5181.290727291641,6720.030340411382
5207.185920680008,6742.338214932568
5233.063932772394,6764.595300983296
5258.92486503252,6786.8020067847265
5284.768817270672,6808.958733323384
5310.595887695601,6831.065874569379
5336.406172964321,6853.123817686139
5362.199768229896,6875.132943232062
5387.976767187287,6897.093625354387
5413.737262117372,6919.006231975676
5439.481343929186,6940.8711249731505
5465.209102200494,6962.688660351221
5490.920625216747,6984.459188407512
5516.616000008479,7006.183053892617
5542.295312387271,7027.860596163866
5567.958646980255,7049.492149333378
5593.606087263316,7071.078042410603
5619.237715592972,7092.618599439608
5644.8536132370355,7114.11413963131
5670.453860404093,7135.564977490891
5696.03853627185,7156.971422940558
5721.607719014401,7178.333781437908
5747.1614858284665,7199.652354089976
5772.6999129586275,7220.927437763251
5798.223075721632,7242.159325189774
5823.731048529783,7263.34830506947
5849.223904913461,7284.49466216891
5874.701717542817,7305.598677416588
5900.164558248667,7326.660627994941
5925.612498042628,7347.680787429152
5951.045607136531,7368.659425672945
5976.463954961117,7389.596809191431
6001.867610184087,7410.493201041183
6027.256640727496,7431.348860947605
6052.631113784534,7452.164045379718
6077.991095835731,7472.939007622492
6103.336652664579,7493.673997846764
6128.667849372637,7514.36926317692
6153.984750394095,7535.0250477563495
6179.287419509866,7555.641592810811
6204.575919861176,7576.219136709766
6229.850313962723,7596.757915025779
6255.110663715379,7617.258160592052
6280.35703041849,7637.720103558163
6305.589474781759,7658.143971444077
6330.808056936749,7678.5299891925015
6356.012836448019,7698.878379219653
6381.2038723238975,7719.1893614644905
6406.381223026927,7739.463153436469
6431.544946483962,7759.699970261894
6456.6951000959725,7779.900024728879
6481.831740747536,7800.06352733103
6506.954924816039,7820.190686309842
6532.064708180605,7840.2817076958845
6557.16114623075,7860.33679534882
6582.244293874789,7880.356150996306
6607.314205547976,7900.339974271771
6632.370935220444,7920.288462751216
6657.4145364048745,7940.201811988923
6682.4450621639735,7960.080215552265
6707.462565117729,7979.923865055545
